SYMBOL,IONIC_RADIUS,MOD_OF_ELASTICITY,BP,MP,DENSITY,AT_WT,BCC_EFF_LAT_CNT,BCC_ENERGY,BCC_ENERGY_DIFF,BCC_FERMI,BCC_MAG_MOM,BCC_VOLUME_PA,BCC_VOLUME_DIFF,GS_BANDGAP,GS_EFF_LAT_CNT,GS_ENERGY,GS_MAG_MOM,GS_VOLUME_PA,HH_IP,HH_IR,ICSD_VOLUME,COV_RAD,ION_ERGY,ATOM_RAD,ELECT_AFF,AT_RAD,AT_VOL,MEN_NUM,N_WS_THIRD,1_ION_POT,2_ION_POT,3_ION_POT,CTE,SP_HEAT_CAP,THERMAL_COND,CONDUCTIVITY,HEAT_OF_FUSION,HEAT_OF_VAP,ELECTRONEGATIVITY,AT_NUM,PERIOD,GRP,VALENCE,IS_HEXAGONAL,IS_BCC,IS_CUBIC,IS_FCC,IS_ORTHO,IS_RHOMBO,IS_MONO,IS_TETRA,IS_ALKALI,IS_ALKALI_EARTH,IS_BORON,IS_CARBON,IS_CHALCOGEN,IS_HALOGEN,IS_HYDROGEN,IS_NOBLE_GAS,IS_PINICTIDE,IS_RARE_EARCH,IS_TRANS_METAL,S_ORBITAL,P_ORBITAL,D_ORBITAL,F-ORBITAL,STABLE_OXIDATION_STATE,IS_D_BLOCK,IS_F_BLOCK,IS_METAL,IS_METALLOID,IS_NONMETAL,ND_UNFILLED,ND_VALENCE,NF_UNFILLED,NF_VALENCE,NP_UNFILLED,NP_VALENCE,NS_UNFILLED,NS_VALENCE,N_UNFILLED
Rn, ,,211.4,202,9.73,222,8.43432665301749,-3.92813716,0.11121118875,7.310142205,0,37.5,-1.23125,0,8.52564343575276,-4.03934834875,0,38.73125,,,41.7, ,1037,1.4,-41,1.34,50.5,103,,10.748, , ,0,0.094,0.00364, ,2.9,16.4, ,86,6,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,14,0,6,0,2,0
Fr,1.8,2,950,300, ,223,8.43432665301749,-3.92813716,0.11121118875,7.310142205,0,37.5,-1.23125,0,8.52564343575276,-4.03934834875,0,38.73125,,,79.6, , ,2.7,44.00,2.7, ,6,, , , ,0, ,15, ,2.1,64,0.7,87,7,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Ra,1.62,16,1413,973,5,226.0254,8.43432665301749,-3.92813716,0.11121118875,7.310142205,0,37.5,-1.23125,0,8.52564343575276,-4.03934834875,0,38.73125,,,68.2, ,509.30,2.2, ,2.23,45.2,10,,5.279,10.148, ,8,0.094,18.6,1,8.37,136.82,0.9,88,7,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Ac, ,34,3470,1324,10.07,227,8.96878072039237,-3.96089058,0.1441117175,6.15712712,0,45.09,0.577500000000001,0,8.93032620748247,-4.1050022975,0,44.5125,,,37.4, ,498.80,1.878, ,1.88,22.54,14,,5.17,12.126, ,0,0.12,12, , , ,1.1,89,7,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,1,0,0,9,1,0,0,0,0,0,2,9
Th,1.05,73,5060,2028,11.72,232.0381,8.07839591723356,-7.26654681,0.14599625,7.42513365,0,32.95,0.580000000000005,0,8.03071525405441,-7.41254306,0,32.37,,,32.8,1.65,587,1.798, ,1.8,19.9,16,1.28,6.01,11.504,20.003,11,0.113,54,7.1,15.65,543.92,1.3,90,7,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,1,0,0,8,2,0,0,0,0,0,2,8
Pa,0.91,100,4300,1845,15.4,231.0359,7.32458092629781,-9.31763091,0.17978156,12.94746448,0,24.56,-0.620000000000001,0,7.38570407738098,-9.49741247,0,25.18,,,24.9, ,568,1.606, ,1.61,15,18,,5.89, , ,9.7, ,47,5.6, , ,1.5,91,7,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,1,1,0,0,9,1,12,2,0,0,0,2,21
U,0.81,186,4407,1408,18.95,238.029,6.86602354655925,-11.0174143,0.274925654999999,14.86914267,0,20.23,0.205000000000002,0,6.84275255995857,-11.292339955,0,20.025,,,21.1,1.42,584,1.385, ,1.38,12.59,20,1.51,6.05, , ,13.9,0.12,27.6,3.6,15.48,422.58,1.38,92,7,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,1,1,0,0,9,1,11,3,0,0,0,2,20
Np,0.75,900,4175,912,20.2,237.0482,6.58545926462568,-12.49858152,0.4417328362,18.54401272,0.0000909,17.85,-0.603749999999998,0,6.65888536568129,-12.9403143562,0,18.45375,,,19.2, ,597,1.31, ,1.3,11.62,22,,6.19, , ,28, ,6.3,0.8, , ,1.36,93,7,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,1,1,0,0,9,1,10,4,0,0,0,2,19
Pu,0.86,97,3505,913,19.84,244,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,20,1.08,585,1.51, ,1.51,12.32,24,1.44,6.06, , ,46.7,0.13,6.74,0.7, , ,1.28,94,7,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,1,0,0,0,0,8,6,0,0,0,2,8
Am, ,,2880,1449,13.7,243,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,29.2, ,578.20, , ,1.84,17.86,26,,5.993, , ,7.1, ,10,0.7, , ,1.3,95,7,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,7,7,0,0,0,2,7
Cm, ,, ,1620,13.5,247,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,21, ,581, , , ,18.28,28,,6.02, , ,0, ,10, , , ,1.3,96,7,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,9,1,7,7,0,0,0,2,16
Bk, ,, ,1620,14,247,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,31.2, ,601, , , , ,30,,6.23, , ,0, ,10, , , ,1.3,97,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,5,9,0,0,0,2,5
Cf, ,, ,1170, ,251,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, ,608, , , , ,32,,6.3, , ,0, ,10, , , ,1.3,98,7,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1, ,0,1,1,0,0,0,0,4,10,0,0,0,2,4
Es, ,, ,1170, ,252,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, ,619, , , , ,34,,6.42, , ,0, ,10, , , ,1.3,99,7,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,3,11,0,0,0,2,3
Fm, ,, ,1130, ,257,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, ,627, , , , ,36,,6.5, , ,0, ,10, , , ,1.3,100,7,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,2,12,0,0,0,2,2
Md, ,, ,1800, ,258,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, ,635, , , , ,38,,6.58, , ,0, ,10, , , ,1.3,101,7,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,1,13,0,0,0,2,1
No, ,, ,1100, ,259,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, ,642, , , , ,40,,6.65, , ,0, ,10, , , ,1.3,102,7,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,0,14,0,0,0,2,0
Lr, ,, ,1900, ,260,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, , , , , , ,42,, , , , , ,10, , , , ,103,7,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,1,0,0,0,0,0,14,5,1,0,2,5
Rf, ,, , , ,261,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, , , , , , ,,, , , , , , , , , , ,104,7,4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, ,1,0,1,0,0,8,2,0,14,0,0,0,2,8
Ha, ,, , , ,262,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, , , , , , ,,, , , , , , , , , , ,105,7,5, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, ,1,0,1,0,0,7,3,0,14,0,0,0,2,7
Sg, ,, , , ,263,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, , , , , , ,,, , , , , , , , , , ,106,7,6, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, ,1,0,1,0,0,6,4,0,14,0,0,0,2,6
Hs, ,, , , ,262,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, , , , , , ,,, , , , , , , , , , ,107,7,7, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, ,1,0,1,0,0,5,5,0,14,0,0,0,2,5
Bh, ,, , , ,265,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, , , , , , ,,, , , , , , , , , , ,108,7,8, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, ,1,0,1,0,0,4,6,0,14,0,0,0,2,4
Mt, ,, , , ,266,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, , , , , , ,,, , , , , , , , , , ,109,7,9, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, ,1,0,1,0,0,3,7,0,14,0,0,0,2,3
Uun, ,, , , , ,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,0.0000048,16.65,-1.43,0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3, , , , , , ,,, , , , , , , , , , ,110,7,10, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, ,1,0,1,0,0,1,9,0,14,0,0,1,1,2
